0,0,H,5,2,17621
0,1,H,4,1,2592
0,2,R,0,2,1663
0,3,H,5,1,1081
0,4,H,8,0,517
0,5,H,0,1,985
0,6,H,3,1,878
0,7,R,5,1,995
0,8,H,0,0,404
0,9,R,7,0,688
0,10,R,6,1,1126
0,11,R,3,1,10326
0,12,H,5,0,1487
0,13,H,0,1,1150
0,14,H,4,1,1135
0,15,H,1,1,1607
0,16,H,3,1,1079
0,17,H,4,1,983
0,18,R,2,0,839
0,19,H,6,0,648
1,0,N,1,1,1570
1,1,N,6,0,423
1,2,N,2,0,371
1,3,N,1,0,479
1,4,P,0,1,1039
1,5,N,1,2,1424
1,6,N,7,0,410
1,7,P,2,2,1075
1,8,N,4,0,415
1,9,N,5,1,710
1,10,N,6,0,419
1,11,P,0,2,1089
1,12,P,3,0,346
1,13,N,0,2,1086
1,14,P,5,2,1110
1,15,N,3,2,1168
1,16,N,0,0,366
1,17,P,1,1,950
1,18,P,6,2,990
1,19,N,5,0,303
2,0,H,9,1,880
2,1,P,2,2,1837
2,2,H,2,0,213
2,3,P,5,0,367
2,4,R,3,1,733
2,5,N,1,0,351
2,6,R,6,0,351
2,7,N,0,0,416
2,8,R,5,0,343
2,9,N,3,0,399
2,10,R,7,0,327
2,11,N,1,0,383
2,12,H,8,1,743
2,13,N,2,1,813
2,14,H,3,1,706
2,15,P,0,0,311
2,16,H,9,0,446
2,17,P,4,0,262
2,18,R,6,1,838
2,19,N,0,0,335
2,20,R,2,0,312
2,21,P,6,1,733
2,22,R,6,1,712
2,23,P,5,1,600
2,24,H,1,0,292
2,25,N,6,1,656
2,26,R,4,0,296
2,27,P,3,1,680
2,28,H,9,0,328
2,29,P,6,0,229
2,30,H,8,0,407
2,31,P,0,0,294
2,32,H,5,0,440
2,33,N,5,1,679
2,34,R,2,0,536
2,35,P,0,1,791
2,36,R,1,1,973
2,37,N,6,0,382
2,38,H,3,1,894
2,39,P,5,0,390
3,0,H,1,0,1223
3,1,N,0,1,631
3,2,H,0,1,767
3,3,N,7,1,621
3,4,H,7,1,622
3,5,P,4,0,355
3,6,R,5,1,576
3,7,N,6,0,343
3,8,R,2,0,278
3,9,N,0,0,302
3,10,H,5,1,708
3,11,P,3,0,273
3,12,H,2,0,326
3,13,N,4,1,593
3,14,R,5,0,311
3,15,P,7,1,569
3,16,H,2,0,604
3,17,N,6,1,583
3,18,H,3,1,631
3,19,N,2,1,568
3,20,R,6,0,253
3,21,P,3,1,490
3,22,R,0,1,584
3,23,N,0,0,302
3,24,H,1,1,894
3,25,N,2,1,573
3,26,H,7,1,599
3,27,N,6,1,615
3,28,R,2,0,222
3,29,N,2,0,371
3,30,R,9,0,252
3,31,P,0,1,653
3,32,H,3,0,360
3,33,N,1,1,684
3,34,R,2,0,278
3,35,P,5,1,735
3,36,H,0,0,375
3,37,P,2,0,314
3,38,H,2,0,238
3,39,P,3,0,338
4,0,R,2,0,629
4,1,R,7,1,1235
4,2,H,6,0,289
4,3,R,0,0,704
4,4,R,3,1,837
4,5,R,6,1,1254
4,6,R,7,1,743
4,7,R,9,0,1762
4,8,H,4,0,204
4,9,H,9,1,728
4,10,R,0,0,807
4,11,H,6,0,215
4,12,H,2,1,680
4,13,H,5,1,551
4,14,R,9,0,320
4,15,R,8,1,1127
4,16,R,1,1,590
4,17,H,4,0,255
4,18,R,8,0,455
4,19,H,1,0,272
5,0,R,1,0,313
5,1,P,2,0,486
5,2,R,8,0,432
5,3,N,3,1,695
5,4,H,6,0,344
5,5,P,1,1,839
5,6,H,8,1,1109
5,7,N,7,0,467
5,8,R,1,1,1207
5,9,N,0,1,785
5,10,R,0,1,1031
5,11,N,3,1,727
5,12,R,9,1,33735
5,13,P,6,0,216
5,14,H,6,1,999
