0,0,R,1,0,226
0,1,R,0,1,269
0,2,R,1,1,311
0,3,H,2,0,154
0,4,R,1,0,72
0,5,R,2,1,246
0,6,H,1,0,117
0,7,R,2,0,132
0,8,H,0,0,118
0,9,H,1,1,232
0,10,R,2,0,86
0,11,R,1,1,250
0,12,R,2,1,242
0,13,R,0,1,247
0,14,R,1,1,265
0,15,H,2,0,128
0,16,H,0,1,272
0,17,H,1,1,246
0,18,R,2,0,121
0,19,H,1,0,131
1,0,N,2,1,309
1,1,P,0,0,120
1,2,N,2,0,110
1,3,P,0,0,127
1,4,N,1,0,98
1,5,N,0,1,248
1,6,P,2,0,121
1,7,N,0,0,134
1,8,N,1,1,281
1,9,N,0,1,224
1,10,N,2,1,212
1,11,N,1,1,241
1,12,N,0,1,223
1,13,P,2,0,105
1,14,P,1,2,433
1,15,P,2,1,248
1,16,N,0,0,135
1,17,P,2,0,118
1,18,N,1,0,102
1,19,N,2,1,249
2,0,R,1,2,723
2,1,N,0,0,80
2,2,H,2,1,249
2,3,P,1,0,161
2,4,R,1,1,230
2,5,N,2,0,48
2,6,R,0,0,176
2,7,P,1,1,264
2,8,H,1,0,8
2,9,N,0,0,224
2,10,H,0,1,203
2,11,P,2,0,41
2,12,R,1,1,223
2,13,N,0,0,139
2,14,R,2,0,72
2,15,P,1,1,215
2,16,H,1,0,119
2,17,P,2,0,102
2,18,R,0,1,230
2,19,N,1,0,62
2,20,H,2,1,187
2,21,N,0,0,190
2,22,H,1,1,202
2,23,P,1,0,41
2,24,R,0,1,226
2,25,N,0,0,124
2,26,R,1,0,165
2,27,N,2,0,40
2,28,H,0,0,191
2,29,N,1,1,200
2,30,R,2,0,62
2,31,N,2,0,129
2,32,H,0,1,265
2,33,P,0,0,98
2,34,R,2,1,202
2,35,N,1,0,155
2,36,R,0,0,57
2,37,P,2,1,217
2,38,H,2,0,126
2,39,P,0,0,102
3,0,H,1,0,193
3,1,N,0,1,223
3,2,H,0,1,206
3,3,P,2,0,74
3,4,R,2,2,324
3,5,N,1,0,129
3,6,R,1,0,87
3,7,N,0,0,67
3,8,R,0,0,129
3,9,N,1,0,39
3,10,H,2,0,143
3,11,P,2,0,32
3,12,H,1,0,166
3,13,N,0,1,190
3,14,H,0,1,186
3,15,N,1,1,167
3,16,R,2,1,208
3,17,P,2,1,216
3,18,R,1,1,233
3,19,P,1,1,215
3,20,R,2,1,217
3,21,N,2,0,61
3,22,R,1,0,152
3,23,P,1,2,247
3,24,R,2,1,215
3,25,N,2,0,92
3,26,H,0,1,185
3,27,N,0,1,183
3,28,H,2,0,145
3,29,N,2,1,184
3,30,H,1,1,156
3,31,P,1,0,204
3,32,R,0,2,201
3,33,P,0,1,263
3,34,R,1,1,252
3,35,N,2,0,23
3,36,R,0,1,236
3,37,N,0,0,148
3,38,H,1,1,189
3,39,P,2,1,196
4,0,H,0,1,331
4,1,R,1,0,71
4,2,H,2,0,175
4,3,H,0,2,236
4,4,R,2,0,126
4,5,H,0,0,134
4,6,R,1,0,64
4,7,R,0,0,196
4,8,H,1,0,75
4,9,H,2,1,279
4,10,H,0,2,289
4,11,H,2,1,304
4,12,H,1,1,282
4,13,H,0,1,237
4,14,R,2,0,68
4,15,H,0,0,161
4,16,H,2,1,225
4,17,R,0,0,79
4,18,H,1,0,209
4,19,H,2,1,235
5,0,R,0,1,183
5,1,P,1,1,230
5,2,R,2,0,175
5,3,P,0,1,194
5,4,H,0,1,292
5,5,N,2,0,77
5,6,R,1,0,162
5,7,P,0,0,213
5,8,R,2,0,106
5,9,P,2,0,210
5,10,H,1,1,248
5,11,P,0,1,247
5,12,R,0,0,15
5,13,P,1,0,181
5,14,R,1,0,105
5,15,N,0,1,264
5,16,R,2,1,235
5,17,N,2,1,217
5,18,H,0,0,114
5,19,N,0,0,100
5,20,R,1,1,217
5,21,N,2,1,222
5,22,H,2,0,134
5,23,P,0,1,232
5,24,H,1,1,227
5,25,P,1,1,216
5,26,H,2,1,224
5,27,N,0,0,112
5,28,H,1,0,116
5,29,N,2,0,87
5,30,H,2,0,145
5,31,N,1,0,48
5,32,H,1,1,254
5,33,N,0,0,82
5,34,R,0,1,169
5,35,N,2,0,158
5,36,H,2,0,48
5,37,P,1,1,237
5,38,H,1,2,245
5,39,P,0,1,237
6,0,H,1,1,261
6,1,P,0,2,483
6,2,R,0,0,41
6,3,P,2,1,186
6,4,H,2,1,217
6,5,P,0,1,257
6,6,H,1,1,253
6,7,P,2,1,222
6,8,R,2,0,25
6,9,P,1,1,216
6,10,R,0,0,168
6,11,N,0,1,219
6,12,R,2,1,236
6,13,P,2,0,160
6,14,R,0,0,71
6,15,N,1,1,264
6,16,H,2,0,127
6,17,N,0,0,116
6,18,H,1,0,133
6,19,N,2,0,102
6,20,H,0,0,131
6,21,P,1,1,234
6,22,H,1,1,238
6,23,N,0,0,98
6,24,R,0,1,232
6,25,N,2,0,240
6,26,H,2,0,125
6,27,P,1,1,283
6,28,H,0,1,268
6,29,P,2,1,244
6,30,R,2,0,124
6,31,N,0,1,267
6,32,H,1,0,137
6,33,N,2,0,118
6,34,R,2,1,266
6,35,N,0,1,270
6,36,H,0,0,154
6,37,P,2,1,298
6,38,R,1,0,119
6,39,P,1,0,133
